"polugodiste","ucenika sa izostancima","ucenika bez izostanaka","ucenika sa opravdanim","broj opravdanih","ucenika sa neopravdanim","broj neopravdanih","ucenika sa neregulisanim","broj neregulisanih","ukupno izostanaka","broj izostanaka po uceniku","godina","odeljenje","pandemija"
1,"20","8","20","502","5","8","0","0","510","18.21","IV","7",TRUE
2,"24","4","24","605","0","0","0","0","605","21.61","IV","7",TRUE
0,"26","2","26","1107","5","8","0","0","1115","39.82","IV","7",TRUE
1,"31","0","29","477","10","12","0","0","489","15.77","IV","8",TRUE
2,"30","1","30","452","6","7","0","0","459","14.81","IV","8",TRUE
0,"31","0","30","929","15","19","0","0","948","30.58","IV","8",TRUE
1,"20","2","20","618","4","6","0","0","624","28.36","IV","si",TRUE
2,"20","2","20","806","10","25","0","0","831","37.77","IV","si",TRUE
0,"21","1","21","1424","11","31","0","0","1455","66.14","IV","si",TRUE
1,"16","1","16","881","5","5","0","0","886","52.12","IV","sm",TRUE
2,"17","0","17","1393","10","21","0","0","1414","83.18","IV","sm",TRUE
0,"17","0","17","2274","11","26","0","0","2300","135.29","IV","sm",TRUE
1,"12","5","12","271","0","0","0","0","271","15.94","VII","sm",TRUE
2,"16","1","16","522","0","0","0","0","522","30.71","VII","sm",TRUE
0,"17","0","17","793","0","0","0","0","793","46.65","VII","sm",TRUE
1,"20","4","20","281","7","10","0","0","291","12.13","VIII","SM",TRUE
2,"23","1","23","474","4","8","0","0","482","20.08","VIII","SM",TRUE
0,"23","1","23","755","8","18","0","0","773","32.21","VIII","SM",TRUE
1,"30","0","30","1109","12","37","0","0","1146","38.2","I","1",FALSE
2,"30","0","29","1192","13","24","0","0","1216","40.53","I","1",FALSE
0,"30","0","30","2301","18","61","0","0","2362","78.73","I","1",FALSE
1,"30","1","30","1079","10","23","0","0","1102","35.55","I","2",FALSE
2,"30","1","30","1070","7","8","0","0","1078","34.77","I","2",FALSE
0,"31","0","31","2149","14","31","0","0","2180","70.32","I","2",FALSE
1,"31","0","31","1698","18","36","0","0","1734","55.94","I","3",FALSE
2,"31","0","29","1597","17","28","1","2","1627","52.48","I","3",FALSE
0,"31","0","31","3295","25","64","1","2","3361","108.42","I","3",FALSE
1,"26","3","25","993","17","34","0","0","1027","35.41","I","4",FALSE
2,"28","1","28","1102","11","12","0","0","1114","38.41","I","4",FALSE
0,"28","1","28","2095","20","46","0","0","2141","73.83","I","4",FALSE
1,"28","0","28","1480","8","15","0","0","1495","53.39","I","5",FALSE
2,"28","0","28","1252","15","31","4","5","1288","46","I","5",FALSE
0,"28","0","28","2732","15","46","4","5","2783","99.39","I","5",FALSE
1,"30","0","30","1337","17","32","0","0","1369","45.63","I","6",FALSE
2,"30","0","30","1214","14","19","0","0","1233","41.1","I","6",FALSE
0,"30","0","30","2551","18","51","0","0","2602","86.73","I","6",FALSE
1,"28","1","28","931","2","2","0","0","933","32.17","I","7",FALSE
2,"28","1","28","969","9","17","1","1","987","34.03","I","7",FALSE
0,"29","0","29","1900","11","19","1","1","1920","66.21","I","7",FALSE
1,"31","0","31","1693","18","31","1","1","1725","55.65","I","8",FALSE
2,"31","0","31","1290","15","22","6","10","1322","42.65","I","8",FALSE
0,"31","0","31","2983","20","53","6","11","3047","98.29","I","8",FALSE
1,"30","0","30","857","0","0","0","0","857","28.57","I","9",FALSE
2,"29","1","29","1146","7","8","5","14","1168","38.93","I","9",FALSE
0,"30","0","30","2003","7","8","5","14","2025","67.5","I","9",FALSE
1,"20","0","20","572","10","27","0","0","599","29.95","I","si",FALSE
2,"20","0","20","704","6","6","0","0","710","35.5","I","si",FALSE
0,"20","0","20","1276","12","33","0","0","1309","65.45","I","si",FALSE
1,"17","2","17","335","6","12","0","0","347","18.26","I","sm",FALSE
2,"18","1","18","594","2","3","0","0","597","31.42","I","sm",FALSE
0,"18","1","18","929","6","15","0","0","944","49.68","I","sm",FALSE
1,"30","0","28","1827","23","49","0","0","1876","62.53","II","1",FALSE
2,"30","0","30","1473","15","23","5","5","1501","50.03","II","1",FALSE
0,"30","0","30","3300","24","72","5","5","3377","112.57","II","1",FALSE
1,"27","3","27","1456","14","35","0","0","1491","49.7","II","2",FALSE
2,"28","2","28","1238","1","1","0","0","1239","41.3","II","2",FALSE
0,"28","2","28","2694","14","36","0","0","2730","91","II","2",FALSE
1,"29","0","28","1160","8","8","0","0","1168","40.28","II","3",FALSE
2,"27","2","27","1106","10","28","0","0","1134","39.1","II","3",FALSE
0,"29","0","29","2266","13","36","0","0","2302","79.38","II","3",FALSE
1,"29","2","29","1347","6","10","0","0","1357","43.77","II","4",FALSE
2,"27","4","27","835","17","27","0","0","862","27.81","II","4",FALSE
0,"29","2","29","2182","17","37","0","0","2219","71.58","II","4",FALSE
1,"30","0","30","1882","20","42","0","0","1924","64.13","II","5",FALSE
2,"28","2","28","1289","14","18","0","0","1307","43.57","II","5",FALSE
0,"30","0","30","3171","22","60","0","0","3231","107.7","II","5",FALSE
1,"27","1","27","2459","22","117","0","0","2576","92","II","6",FALSE
2,"27","1","27","1453","7","12","1","1","1466","52.36","II","6",FALSE
0,"27","1","27","3912","22","129","1","1","4042","144.36","II","6",FALSE
1,"26","2","26","1229","10","19","0","0","1248","44.57","II","7",FALSE
2,"26","2","24","753","13","16","0","0","769","27.46","II","7",FALSE
0,"28","0","28","1982","17","35","0","0","2017","72.04","II","7",FALSE
1,"31","1","31","1417","5","11","0","0","1428","44.63","II","8",FALSE
2,"31","1","31","1266","3","4","0","0","1270","39.69","II","8",FALSE
0,"31","1","31","2683","6","15","0","0","2698","84.31","II","8",FALSE
1,"23","0","23","978","14","37","0","0","1015","44.13","II","si",FALSE
2,"22","1","22","1173","6","8","3","3","1184","51.48","II","si",FALSE
0,"23","0","23","2151","16","45","3","3","2199","95.61","II","si",FALSE
1,"16","1","16","1137","3","4","0","0","1141","67.12","II","sm",FALSE
2,"17","0","17","1068","2","5","0","0","1073","63.12","II","sm",FALSE
0,"17","0","17","2205","4","9","0","0","2214","130.24","II","sm",FALSE
1,"32","0","32","1845","26","74","0","0","1919","59.97","III","1",FALSE
2,"32","0","32","1697","20","30","1","2","1729","54.03","III","1",FALSE
0,"32","0","32","3542","30","104","1","2","3648","114","III","1",FALSE
